Nama_File,Drive_ID,Link_Drive
guru_5_Panduan Guru Seni Teater untuk SDMI Kelas V (Edisi Revisi).pdf,1z43wmqH0flMQClfTBFhIRnVWuX-GoTC8,https://drive.google.com/file/d/1z43wmqH0flMQClfTBFhIRnVWuX-GoTC8/view?usp=drivesdk
guru_5_Buku Panduan Guru Pendidikan Agama Katolik dan Budi Pekerti untuk SD Kelas V.pdf,1U8Lz9TDK1R0LXOcoweIWrgvASIOmf8O_,https://drive.google.com/file/d/1U8Lz9TDK1R0LXOcoweIWrgvASIOmf8O_/view?usp=drivesdk
guru_5_Panduan Guru Seni Musik untuk SDMI Kelas V (Edisi Revisi).pdf,1huABpvtkB6l6djsDRrpZ846cPYP3Y3IC,https://drive.google.com/file/d/1huABpvtkB6l6djsDRrpZ846cPYP3Y3IC/view?usp=drivesdk
guru_5_Panduan Guru Seni Rupa untuk SDMI Kelas V (Edisi Revisi).pdf,1rTh08p2ObnfyT23vehO8RnGTbyQ1us8N,https://drive.google.com/file/d/1rTh08p2ObnfyT23vehO8RnGTbyQ1us8N/view?usp=drivesdk
"guru_5_Panduan Guru Pendidikan Jasmani, Olahraga, dan Kesehatan untuk SDMI Kelas V.pdf",1Vw5az63MAs2BYXeeg0lHu9-zGUHvredf,https://drive.google.com/file/d/1Vw5az63MAs2BYXeeg0lHu9-zGUHvredf/view?usp=drivesdk
guru_5_Panduan Guru Pendidikan Pancasila untuk SDMI Kelas V.pdf,1A377q6XX9lNoh7I2c6ATqEcDoQjZedLT,https://drive.google.com/file/d/1A377q6XX9lNoh7I2c6ATqEcDoQjZedLT/view?usp=drivesdk
guru_5_Panduan Guru Koding dan Kecerdasan Artifisial untuk SDMI Kelas V.pdf,1bSDbqy-j7hM1JtxQ0uHjq-h3uAMFZF3I,https://drive.google.com/file/d/1bSDbqy-j7hM1JtxQ0uHjq-h3uAMFZF3I/view?usp=drivesdk
guru_5_Panduan Guru Ilmu Pengetahuan Alam dan Sosial untuk SDMI Kelas V (Edisi Revisi).pdf,1j5cyfK1Gfbn7OPdZ5WQFOEeu-bPemQtP,https://drive.google.com/file/d/1j5cyfK1Gfbn7OPdZ5WQFOEeu-bPemQtP/view?usp=drivesdk
guru_5_Buku Panduan Guru Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa dan Budi Pekerti untuk SD Kelas V.pdf,1GHwvaxmSjjmqc_LQ4AYNeU_yLBs3TIyy,https://drive.google.com/file/d/1GHwvaxmSjjmqc_LQ4AYNeU_yLBs3TIyy/view?usp=drivesdk
guru_5_Panduan Guru Bahasa Inggris English for Nusantara Kids untuk SDMI Kelas V.pdf,1xk7DscLnpUzILHN7Y59Ur1pzY8BxU-m5,https://drive.google.com/file/d/1xk7DscLnpUzILHN7Y59Ur1pzY8BxU-m5/view?usp=drivesdk
guru_5_Buku Panduan Guru Pendidikan Agama Khonghucu dan Budi Pekerti untuk SD Kelas V.pdf,1v2bOZfHFJb9Akpw5XTNeTi5w26V9nCL0,https://drive.google.com/file/d/1v2bOZfHFJb9Akpw5XTNeTi5w26V9nCL0/view?usp=drivesdk
